episode,step,position,risk_level,action,reward,gestational_week
6,10,"(3, 3)",MODERATE,EXERCISE_PROGRAM,3.691338886520124,28
6,11,"(4, 3)",MODERATE,EXERCISE_PROGRAM,4.83892762286537,30
6,12,"(3, 3)",HIGH,EXERCISE_PROGRAM,0.7158211935028067,31
6,13,"(4, 4)",HIGH,EXERCISE_PROGRAM,1.9769824608114068,33
6,14,"(5, 5)",HIGH,EXERCISE_PROGRAM,2.908287121423641,34
6,15,"(6, 6)",HIGH,EXERCISE_PROGRAM,2.7569083778175947,35
6,16,"(7, 7)",CRITICAL,EXERCISE_PROGRAM,3.4165078879845603,37
7,1,"(1, 0)",LOW,EXERCISE_PROGRAM,1.3572434076096962,14
7,2,"(0, 0)",LOW,EXERCISE_PROGRAM,3.0706911404451187,15
7,3,"(0, 1)",LOW,EXERCISE_PROGRAM,3.015645800817531,17
7,4,"(0, 0)",LOW,EXERCISE_PROGRAM,3.594543694002283,18
7,5,"(0, 1)",LOW,EXERCISE_PROGRAM,3.127932968419577,20
7,6,"(0, 0)",MODERATE,EXERCISE_PROGRAM,2.8694855128007966,21
7,7,"(0, 0)",MODERATE,EXERCISE_PROGRAM,4.947781225489642,22
7,8,"(1, 0)",MODERATE,EXERCISE_PROGRAM,5.087211703787647,24
7,9,"(1, 1)",MODERATE,EXERCISE_PROGRAM,3.0537067719634856,25
7,10,"(0, 1)",MODERATE,EXERCISE_PROGRAM,3.468403956739622,27
7,11,"(0, 1)",MODERATE,EXERCISE_PROGRAM,3.3107892442631552,28
7,12,"(0, 2)",MODERATE,EXERCISE_PROGRAM,3.9918481459317583,29
7,13,"(0, 3)",MODERATE,SPECIALIST_REFERRAL,1.3675301485367337,31
7,14,"(1, 4)",HIGH,SPECIALIST_REFERRAL,7.722604695209132,33
7,15,"(2, 5)",HIGH,SPECIALIST_REFERRAL,3.5843531591115765,34
7,16,"(3, 6)",HIGH,SPECIALIST_REFERRAL,3.5928285449481425,36
7,17,"(4, 7)",CRITICAL,SPECIALIST_REFERRAL,6.048463235316122,37
7,18,"(5, 7)",CRITICAL,SPECIALIST_REFERRAL,6.520632265882917,38
7,19,"(6, 7)",CRITICAL,EXERCISE_PROGRAM,2.695043104875343,40
8,1,"(1, 0)",LOW,EXERCISE_PROGRAM,3.9151182154286275,14
8,2,"(1, 1)",LOW,EXERCISE_PROGRAM,4.770096361681934,15
8,3,"(2, 1)",LOW,EXERCISE_PROGRAM,3.5004388879826136,17
8,4,"(3, 1)",LOW,EXERCISE_PROGRAM,2.3690656958004883,18
8,5,"(3, 0)",LOW,EXERCISE_PROGRAM,3.659819280351794,20
8,6,"(4, 0)",MODERATE,EXERCISE_PROGRAM,4.11262268183749,21
8,7,"(5, 0)",MODERATE,EXERCISE_PROGRAM,3.379012973783765,23
8,8,"(5, 1)",MODERATE,EXERCISE_PROGRAM,4.4433396626350445,25
8,9,"(6, 1)",MODERATE,EXERCISE_PROGRAM,4.375567619144938,27
8,10,"(7, 1)",MODERATE,EXERCISE_PROGRAM,4.592174737626093,29
8,11,"(7, 1)",MODERATE,EXERCISE_PROGRAM,3.543411233754438,31
8,12,"(7, 2)",HIGH,EXERCISE_PROGRAM,4.777113469611403,33
8,13,"(7, 3)",HIGH,EXERCISE_PROGRAM,1.6992169136121447,34
8,14,"(7, 4)",HIGH,EXERCISE_PROGRAM,1.9015372675626971,35
8,15,"(7, 5)",CRITICAL,EXERCISE_PROGRAM,2.3840089437315415,37
8,16,"(7, 6)",CRITICAL,EXERCISE_PROGRAM,2.6818255735599403,38
8,17,"(7, 7)",CRITICAL,EXERCISE_PROGRAM,3.2640189326035896,40
9,1,"(0, 0)",LOW,EXERCISE_PROGRAM,2.5546293639304394,13
9,2,"(0, 1)",LOW,EXERCISE_PROGRAM,3.037583180474801,14
9,3,"(1, 1)",LOW,EXERCISE_PROGRAM,2.7391935547002073,16
9,4,"(0, 1)",LOW,EXERCISE_PROGRAM,2.2064294053141005,17
9,5,"(1, 1)",LOW,EXERCISE_PROGRAM,3.4040073442741816,19
9,6,"(1, 0)",LOW,EXERCISE_PROGRAM,2.8959440317533574,20
9,7,"(2, 0)",MODERATE,EXERCISE_PROGRAM,2.2014516856109054,21
9,8,"(2, 0)",MODERATE,EXERCISE_PROGRAM,4.6132012337637525,23
9,9,"(2, 1)",MODERATE,EXERCISE_PROGRAM,5.170131200405061,24
9,10,"(2, 0)",MODERATE,EXERCISE_PROGRAM,2.573079873008432,25
9,11,"(2, 0)",MODERATE,EXERCISE_PROGRAM,2.7616063876766015,26
9,12,"(1, 0)",MODERATE,EXERCISE_PROGRAM,2.7849809119060924,27
9,13,"(0, 0)",MODERATE,EXERCISE_PROGRAM,3.5538388667613874,29
9,14,"(1, 0)",MODERATE,EXERCISE_PROGRAM,5.415267797072995,30
9,15,"(0, 0)",HIGH,EXERCISE_PROGRAM,1.6949182968687126,32
9,16,"(1, 1)",HIGH,EXERCISE_PROGRAM,0.9464438951755603,34
9,17,"(2, 2)",HIGH,EXERCISE_PROGRAM,1.977535323258763,36
9,18,"(3, 3)",CRITICAL,EXERCISE_PROGRAM,2.8388251462012,38
9,19,"(4, 4)",CRITICAL,EXERCISE_PROGRAM,4.165551356280066,40
